[0]:0 [1]:0 [2]:0 [3]:0
[0]:3463256906 [1]:1 [2]:2 [3]:170
[0]:4255590489 [1]:1 [2]:2 [3]:127
[0]:3967350216 [1]:1 [2]:2 [3]:131
[0]:3755616148 [1]:1 [2]:2 [3]:192
[0]:3543257932 [1]:1 [2]:2 [3]:161
[0]:3332133013 [1]:1 [2]:2 [3]:85
[0]:4107595963 [1]:1 [2]:2 [3]:187
[0]:3895224902 [1]:1 [2]:2 [3]:113
[0]:3683551203 [1]:1 [2]:2 [3]:201
[0]:3467489093 [1]:1 [2]:2 [3]:34
[0]:4258657609 [1]:1 [2]:2 [3]:108
[0]:4039132118 [1]:1 [2]:2 [3]:115
[0]:3827679991 [1]:1 [2]:2 [3]:38
[0]:3615509201 [1]:1 [2]:2 [3]:122
[0]:3407350492 [1]:1 [2]:2 [3]:156
[0]:4195667377 [1]:1 [2]:2 [3]:193
[0]:3979506724 [1]:1 [2]:2 [3]:199
[0]:3763404206 [1]:1 [2]:2 [3]:65
[0]:3555606674 [1]:1 [2]:2 [3]:193
[0]:3350659779 [1]:1 [2]:2 [3]:173
[0]:4147511851 [1]:1 [2]:2 [3]:140
[0]:3928603832 [1]:1 [2]:2 [3]:153
[0]:3716575286 [1]:1 [2]:2 [3]:78
[0]:3507535011 [1]:1 [2]:2 [3]:179
[0]:3300809257 [1]:1 [2]:2 [3]:184
[0]:4094187418 [1]:1 [2]:2 [3]:178
[0]:3883302769 [1]:1 [2]:2 [3]:30
[0]:3675665417 [1]:1 [2]:2 [3]:27
[0]:3419638849 [1]:1 [2]:2 [3]:50
[0]:4203265048 [1]:1 [2]:2 [3]:157
[0]:3995735307 [1]:1 [2]:2 [3]:192
[0]:3779501072 [1]:1 [2]:2 [3]:165
[0]:3559219219 [1]:1 [2]:2 [3]:193
[0]:3331545836 [1]:1 [2]:2 [3]:146
[0]:4127532334 [1]:1 [2]:2 [3]:83
[0]:3911466403 [1]:1 [2]:2 [3]:85
[0]:3699764853 [1]:1 [2]:2 [3]:94
[0]:3487600248 [1]:1 [2]:2 [3]:170
[0]:4275377186 [1]:1 [2]:2 [3]:149
[0]:4067487774 [1]:1 [2]:2 [3]:108
[0]:3859544821 [1]:1 [2]:2 [3]:171
[0]:3598967936 [1]:1 [2]:2 [3]:93
[0]:3392093677 [1]:1 [2]:2 [3]:41
[0]:4177971068 [1]:1 [2]:2 [3]:47
[0]:3966496856 [1]:1 [2]:2 [3]:36
[0]:3755108919 [1]:1 [2]:2 [3]:89
[0]:3556648887 [1]:1 [2]:2 [3]:175
[0]:3343541616 [1]:1 [2]:2 [3]:133
[0]:4136744344 [1]:1 [2]:2 [3]:171
[0]:3928360949 [1]:1 [2]:2 [3]:117
[0]:3715316891 [1]:1 [2]:2 [3]:58
[0]:3491461149 [1]:1 [2]:2 [3]:36
[0]:4271308467 [1]:1 [2]:2 [3]:159
[0]:4055479462 [1]:1 [2]:2 [3]:29
[0]:3852476704 [1]:1 [2]:2 [3]:177
[0]:3639567591 [1]:1 [2]:2 [3]:96
[0]:3415649921 [1]:1 [2]:2 [3]:95
[0]:4204694768 [1]:1 [2]:2 [3]:194
[0]:3995406944 [1]:1 [2]:2 [3]:62
[0]:3779614907 [1]:1 [2]:2 [3]:53
[0]:3569696302 [1]:1 [2]:2 [3]:105
[0]:3362003042 [1]:1 [2]:2 [3]:36
[0]:4147721217 [1]:1 [2]:2 [3]:175
[0]:3939578066 [1]:1 [2]:2 [3]:60
[0]:3727732936 [1]:1 [2]:2 [3]:171
[0]:3514674553 [1]:1 [2]:2 [3]:32
[0]:3302447989 [1]:1 [2]:2 [3]:194
[0]:4095807952 [1]:1 [2]:2 [3]:173
[0]:3883735569 [1]:1 [2]:2 [3]:49
[0]:3663566928 [1]:1 [2]:2 [3]:67
[0]:3453618002 [1]:1 [2]:2 [3]:159
[0]:4200559139 [1]:1 [2]:2 [3]:43
[0]:3998490657 [1]:1 [2]:2 [3]:46
[0]:3789314352 [1]:1 [2]:2 [3]:138
[0]:3579752601 [1]:1 [2]:2 [3]:33
[0]:3371635718 [1]:1 [2]:2 [3]:195
[0]:4160358129 [1]:1 [2]:2 [3]:72
[0]:3947707873 [1]:1 [2]:2 [3]:135
[0]:3735535381 [1]:1 [2]:2 [3]:138
[0]:3516038368 [1]:1 [2]:2 [3]:168
[0]:3300315099 [1]:1 [2]:2 [3]:48
[0]:4081452489 [1]:1 [2]:2 [3]:62
[0]:3875582572 [1]:1 [2]:2 [3]:27
[0]:3651594013 [1]:1 [2]:2 [3]:199
[0]:3428999717 [1]:1 [2]:2 [3]:81
[0]:4214834622 [1]:1 [2]:2 [3]:102
[0]:3999706833 [1]:1 [2]:2 [3]:78
[0]:3783985254 [1]:1 [2]:2 [3]:134
[0]:3575096683 [1]:1 [2]:2 [3]:196
[0]:3359549029 [1]:1 [2]:2 [3]:88
[0]:4151205789 [1]:1 [2]:2 [3]:88
[0]:3935522331 [1]:1 [2]:2 [3]:122
[0]:3703703663 [1]:1 [2]:2 [3]:124
[0]:3493402339 [1]:1 [2]:2 [3]:159
[0]:4244328796 [1]:1 [2]:2 [3]:193
[0]:4029140681 [1]:1 [2]:2 [3]:96
[0]:3818739303 [1]:1 [2]:2 [3]:193
[0]:3576026259 [1]:1 [2]:2 [3]:57
[0]:3365127692 [1]:1 [2]:2 [3]:156
[0]:4152619016 [1]:1 [2]:2 [3]:80
[0]:3915655827 [1]:1 [2]:2 [3]:192
[0]:3707492526 [1]:1 [2]:2 [3]:165
[0]:3487426699 [1]:1 [2]:2 [3]:160
[0]:4271471869 [1]:1 [2]:2 [3]:115
[0]:4055533714 [1]:1 [2]:2 [3]:90
[0]:3847860968 [1]:1 [2]:2 [3]:178
[0]:3631480681 [1]:1 [2]:2 [3]:147
[0]:3398043213 [1]:1 [2]:2 [3]:169
[0]:4174737547 [1]:1 [2]:2 [3]:43
[0]:3955884012 [1]:1 [2]:2 [3]:153
[0]:3739569491 [1]:1 [2]:2 [3]:190
[0]:3516039248 [1]:1 [2]:2 [3]:49
[0]:4291595493 [1]:1 [2]:2 [3]:147
[0]:4076000963 [1]:1 [2]:2 [3]:104
[0]:3863328787 [1]:1 [2]:2 [3]:69
[0]:3655575332 [1]:1 [2]:2 [3]:199
[0]:3365224282 [1]:1 [2]:2 [3]:33
[0]:4156907333 [1]:1 [2]:2 [3]:147
[0]:3951833319 [1]:1 [2]:2 [3]:194
[0]:3741815488 [1]:1 [2]:2 [3]:43
[0]:3503547667 [1]:1 [2]:2 [3]:188
[0]:4284717932 [1]:1 [2]:2 [3]:86
[0]:4071605637 [1]:1 [2]:2 [3]:120
[0]:3827710284 [1]:1 [2]:2 [3]:162
[0]:3615375371 [1]:1 [2]:2 [3]:113
[0]:3395700319 [1]:1 [2]:2 [3]:73
[0]:4156006271 [1]:1 [2]:2 [3]:199
[0]:3943263147 [1]:1 [2]:2 [3]:29
[0]:3735636092 [1]:1 [2]:2 [3]:162
[0]:3533994291 [1]:1 [2]:2 [3]:193
[0]:3319785696 [1]:1 [2]:2 [3]:94
[0]:4103603649 [1]:1 [2]:2 [3]:196
[0]:3863973852 [1]:1 [2]:2 [3]:100
[0]:3651771423 [1]:1 [2]:2 [3]:193
[0]:3439586247 [1]:1 [2]:2 [3]:52
[0]:4234003747 [1]:1 [2]:2 [3]:194
[0]:4019550541 [1]:1 [2]:2 [3]:160
[0]:3811779196 [1]:1 [2]:2 [3]:198
[0]:3599786274 [1]:1 [2]:2 [3]:134
[0]:3380988183 [1]:1 [2]:2 [3]:31
[0]:4155554057 [1]:1 [2]:2 [3]:63
[0]:3931400457 [1]:1 [2]:2 [3]:31
[0]:3683592794 [1]:1 [2]:2 [3]:67
[0]:3478100017 [1]:1 [2]:2 [3]:57
[0]:4267638547 [1]:1 [2]:2 [3]:74
[0]:4037266111 [1]:1 [2]:2 [3]:173
[0]:3819670422 [1]:1 [2]:2 [3]:186
[0]:3615662019 [1]:1 [2]:2 [3]:90
[0]:3402938063 [1]:1 [2]:2 [3]:83
[0]:4171927478 [1]:1 [2]:2 [3]:185
[0]:3959385254 [1]:1 [2]:2 [3]:192
[0]:3707381119 [1]:1 [2]:2 [3]:32
[0]:3506098471 [1]:1 [2]:2 [3]:71
